2024-06-09 21:12:51,549: Key.ctrl_l
2024-06-09 21:12:52,064: Key.ctrl_l
2024-06-09 21:12:52,096: Key.ctrl_l
2024-06-09 21:12:52,128: Key.ctrl_l
2024-06-09 21:12:52,160: Key.ctrl_l
2024-06-09 21:12:52,192: Key.ctrl_l
2024-06-09 21:12:52,224: Key.ctrl_l
2024-06-09 21:12:52,256: Key.ctrl_l
2024-06-09 21:12:52,287: 
2024-06-09 21:13:20,863: Key.ctrl_l
2024-06-09 21:13:21,364: Key.ctrl_l
2024-06-09 21:13:21,396: Key.ctrl_l
2024-06-09 21:13:21,444: Key.ctrl_l
2024-06-09 21:13:21,476: Key.ctrl_l
2024-06-09 21:13:21,508: Key.ctrl_l
2024-06-09 21:13:21,540: Key.ctrl_l
2024-06-09 21:13:21,572: Key.ctrl_l
2024-06-09 21:13:32,903: o
2024-06-09 21:13:32,933: g
2024-06-09 21:13:33,117: r
2024-06-09 21:13:33,139: k
2024-06-09 21:13:33,198: g
2024-06-09 21:13:33,316: l
2024-06-09 21:13:33,326: o
2024-06-09 21:13:33,456: g
2024-06-09 21:13:33,578: k
2024-06-09 21:13:33,729: g
2024-06-09 21:13:33,730: j
2024-06-09 21:13:33,865: k
2024-06-09 21:13:33,866: l
2024-06-09 21:13:34,051: n
2024-06-09 21:13:34,193: k
2024-06-09 21:13:34,193: l
2024-06-09 21:13:34,393: e
2024-06-09 21:13:38,764: Key.ctrl_l
2024-06-09 21:13:39,266: Key.ctrl_l
2024-06-09 21:13:39,298: Key.ctrl_l
2024-06-09 21:13:39,330: Key.ctrl_l
2024-06-09 21:13:39,362: Key.ctrl_l
2024-06-09 21:13:39,408: Key.ctrl_l
2024-06-09 21:13:39,440: Key.ctrl_l
2024-06-09 21:13:39,472: Key.ctrl_l
2024-06-09 21:13:39,504: Key.ctrl_l
2024-06-09 21:13:39,535: Key.ctrl_l
2024-06-09 21:13:39,566: Key.ctrl_l
2024-06-09 21:13:39,598: Key.ctrl_l
2024-06-09 21:13:39,630: Key.ctrl_l
2024-06-09 21:13:39,662: Key.ctrl_l
2024-06-09 21:13:39,692: Key.ctrl_l
2024-06-09 21:13:39,740: Key.ctrl_l
2024-06-09 21:13:39,772: Key.ctrl_l
2024-06-09 21:13:39,804: Key.ctrl_l
2024-06-09 21:13:39,836: Key.ctrl_l
2024-06-09 21:13:39,867: Key.ctrl_l
2024-06-09 21:13:39,898: Key.ctrl_l
2024-06-09 21:13:39,928: Key.ctrl_l
2024-06-09 21:13:39,958: Key.ctrl_l
2024-06-09 21:13:39,989: Key.ctrl_l
2024-06-09 21:13:40,037: Key.ctrl_l
2024-06-09 21:13:40,067: Key.ctrl_l
2024-06-09 21:13:40,099: Key.ctrl_l
2024-06-09 21:13:40,131: Key.ctrl_l
2024-06-09 21:13:40,163: Key.ctrl_l
2024-06-09 21:13:41,721: Key.ctrl_l
2024-06-09 21:13:42,227: Key.ctrl_l
2024-06-09 21:13:42,259: Key.ctrl_l
2024-06-09 21:13:42,291: Key.ctrl_l
2024-06-09 21:13:42,323: Key.ctrl_l
2024-06-09 21:13:42,354: Key.ctrl_l
2024-06-09 21:13:42,401: Key.ctrl_l
2024-06-09 21:13:42,433: Key.ctrl_l
2024-06-09 21:13:42,465: Key.ctrl_l
2024-06-09 21:13:42,496: Key.ctrl_l
2024-06-09 21:13:42,527: Key.ctrl_l
2024-06-09 21:13:42,559: Key.ctrl_l
2024-06-09 21:13:42,591: Key.ctrl_l
2024-06-09 21:13:42,623: Key.ctrl_l
2024-06-09 21:13:42,655: Key.ctrl_l
2024-06-09 21:13:42,687: Key.ctrl_l
2024-06-09 21:14:17,651: Key.ctrl_l
2024-06-09 21:14:26,572: j
2024-06-09 21:14:26,814: k
2024-06-09 21:14:27,177: a
2024-06-09 21:14:49,926: a
2024-06-09 21:14:50,102: n
2024-06-09 21:14:50,362: u
2024-06-09 21:14:51,004: p
2024-06-09 21:14:51,131: a
2024-06-09 21:14:51,347: m
2024-06-09 21:14:53,571: Key.backspace
2024-06-09 21:14:54,085: Key.backspace
2024-06-09 21:14:54,117: Key.backspace
2024-06-09 21:14:54,148: Key.backspace
2024-06-09 21:14:54,179: Key.backspace
2024-06-09 21:14:54,211: Key.backspace
2024-06-09 21:14:54,243: Key.backspace
